date,close_price,signal,position,cash,portfolio_value,unrealized_pnl,realized_pnl,volatility_percentile,asset_volatility,drawdown_breach,days_since_signal,returns,cumulative_returns,drawdown
2023-08-22,324.0,0,0.0,1015842.502293873,1008164.327060146,-8418.64793627167,-8418.64793627167,73.07692307692307,0.5,False,0,0.0015681687940649613,0.008164327060145915,-0.016899820117811264
2023-08-24,318.8,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,73.07692307692307,0.5,False,1,0.007615995753506688,0.01584250229387285,-0.00941253332255688
2023-08-28,325.0,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,73.07692307692307,0.5,False,2,0.0,0.01584250229387285,-0.00941253332255688
2023-10-04,318.0,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,44.339622641509436,0.5,False,3,0.0,0.01584250229387285,-0.00941253332255688
2023-10-05,325.8,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,44.339622641509436,0.5,False,4,0.0,0.01584250229387285,-0.00941253332255688
2023-10-23,324.2,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,44.339622641509436,0.5,False,5,0.0,0.01584250229387285,-0.00941253332255688
2023-10-27,334.4,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,44.339622641509436,0.5,False,6,0.0,0.01584250229387285,-0.00941253332255688
2023-10-31,325.0,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,44.339622641509436,0.5,False,7,0.0,0.01584250229387285,-0.00941253332255688
2023-11-06,321.8,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,30.8411214953271,0.5,False,8,0.0,0.01584250229387285,-0.00941253332255688
2023-11-14,318.0,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,30.8411214953271,0.5,False,9,0.0,0.01584250229387285,-0.00941253332255688
2023-11-28,328.4,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,30.8411214953271,0.5,False,10,0.0,0.01584250229387285,-0.00941253332255688
2023-12-19,331.8,0,0.0,1015842.502293873,1015842.502293873,0.0,0.0,26.851851851851855,0.5,False,11,0.0,0.01584250229387285,-0.00941253332255688
2024-01-25,332.0,1,101863.83990891773,1005651.0251109857,1015842.502293873,0.0,0.0,17.431192660550458,0.5,False,0,0.0,0.01584250229387285,-0.00941253332255688
2024-02-29,346.8,1,101863.83990891773,1005651.0251109857,1010191.9432756001,4540.918164614408,0.0,13.636363636363635,0.5,False,1,-0.0055624361114182674,0.010191943275599913,-0.014922612818721802
2024-05-09,345.0,0,0.0,1019820.960243665,1009639.6694447687,3988.644333782923,3988.644333782923,50.442477876106196,0.5,False,0,-0.0005467018763193332,0.009639669444768462,-0.015461156474613512
